id,Colonia,Delitos,latitude,longitude
319,CHURUBUSCO TEPEYAC,7,19.4869791221228,-99.1378941028936
320,CITLALLI,100,19.3447249511181,-99.0252432874289
321,CIUDAD DE LOS DEPORTES,98,19.3851734909406,-99.1811151267225
322,CIUDAD JARDÍN,52,19.337770321222,-99.1444184203953
323,CLAVERÍA,165,19.4652065236309,-99.1811278025049
324,CLUB DE GOLF BOSQUES,3,19.3779167023233,-99.2799702004527
325,CLUB DE GOLF MÉXICO,16,19.2787621214059,-99.1599096437143
326,COCOYOTES,13,19.5488417883071,-99.1304456296209
327,COLA DE PATO - PUEBLO,3,19.3057918099739,-99.3378698661277
328,COLEGIO MEXICO,14,19.2989313,-99.1383795
329,COLINA DEL SUR,63,19.3646175049974,-99.2211824266252
330,COLINAS DE TARANGO,5,19.3643463115897,-99.2213558260526
331,COLINAS DEL BOSQUE,17,19.2783625565172,-99.1499579354181
332,COLONIAL IZTAPALAPA,21,19.3495777705393,-99.0556486599752
333,COLORINES,1,19.36782331,-99.28306204
334,COLTONGO,40,19.4857478261025,-99.1526828181824
335,COMPAÑÍA DE LUZ,1,19.3878230495265,-99.2203969793268
336,COMPOSITORES MEXICANOS,34,19.5656556176606,-99.1382143887668
337,COMUNEROS DE SANTA ÚRSULA,21,19.2990943,-99.1625178
338,CONCHITA A,35,19.2886727958401,-99.0406049001671
339,CONCHITA B,63,19.2889173465589,-99.029440555529
340,CONDESA,202,19.4148384030316,-99.1707379002282
341,CONSEJO AGRARISTA MEXICANO,143,19.3225453042074,-99.0599058003913
342,CONSTITUCIÓN DE 1917,209,19.3493708023454,-99.0585453997442
343,CONSTITUCIÓN DE LA REPÚBLICA,113,19.4838353982543,-99.1019603995862
344,CONTADERO,37,19.3485691035551,-99.2812311787591
345,COOPERATIVA BIATLON,5,19.3679150252996,-99.0322155673484
346,COPILCO EL ALTO,36,19.33220810047,-99.1760907999641
347,COPILCO EL BAJO,66,19.340178797876,-99.1875627999664
348,COPILCO UNIVERSIDAD,97,19.3347382980252,-99.1767541003331
349,COPILCO UNIVERSIDAD ISSSTE,9,19.3381849,-99.1859469
350,CORPUS CHRISTY,57,19.3606134,-99.2473801
351,CORRALES,1,19.27194009738,-99.1425951996883
352,COSMOPOLITA,48,19.4733700041775,-99.1632887255459
353,COVE,65,19.4017064120989,-99.2002751886494
354,CRÉDITO CONSTRUCTOR,51,19.3670413019129,-99.1804392998798
355,CRISTO REY,74,19.3893546437468,-99.2009744232575
356,CRUZ BLANCA,14,19.32608102,-99.31775331
357,CRUZ DEL FAROL,22,19.2704136,-99.2135509
358,CRUZTITLA (SAN ANTONIO TECOMITL),58,19.2129506,-98.9969721
359,CUADRANTE DE SAN FRANCISCO,77,19.3437841,-99.16676173
360,CUAJIMALPA,274,19.3624830969456,-99.302558400415
361,CUAUHTÉMOC,483,19.3179054973965,-99.2424599999212
362,CUAUHTÉMOC PENSIL,50,19.4449238609448,-99.1917862661
363,CUAUTEPEC BARRIO ALTO,12,19.5576165,-99.1393889
364,CUAUTEPEC DE MADERO,32,19.54950481,-99.13677775
365,CUCHILLA AGRÍCOLA ORIENTAL,24,19.4043458877143,-99.0798187113894
366,CUCHILLA DE PADIERNA,12,19.2751772943191,-99.2165655907969
367,CUCHILLA DEL MORAL 1,4,19.3851411037075,-99.0714499001226
368,CUCHILLA DEL TESORO,81,19.4487010038534,-99.0566694996871
369,CUCHILLA LA JOYA,16,19.46119794,-99.1106485
370,CUCHILLA PANTITLAN,51,19.42192623,-99.06150096
371,CUCHILLA TEPEXIMILPA,3,19.2696243940299,-99.1930223118982
372,CUEVITAS,24,19.3868718781204,-99.2239121443465
373,CUITLAHUAC,2,19.3438842608744,-99.0632210731597
374,CULHUACÁN CTM SECCIÓN IX,54,19.3109936985247,-99.1025172996884
375,CULHUACÁN CTM SECCIÓN V,71,19.33149731,-99.11407536
376,CULHUACÁN CTM SECCIÓN VI,61,19.32360913,-99.11234613
377,CULHUACÁN CTM SECCIÓN VII,210,19.3284959982746,-99.1154944851042
378,CULHUACÁN CTM SECCIÓN X,35,19.3073690007924,-99.1117373000791
379,CULTURA MAYA,16,19.2774398434479,-99.2249746805498
380,CUMBRES DE TEPETONGO,10,19.2723052654149,-99.1881371078776
381,DAMIÁN CARMONA,19,19.44469108,-99.10339072
382,DANIEL GARZA,56,19.4076656549421,-99.1979134967093
383,DE SAN JUAN TLALPAN,3,19.2921927365031,-99.1444699502925
384,DEFENSORES DE LA REPÚBLICA,69,19.476644620014,-99.1467704302172
385,DEL BOSQUE,21,19.54311535,-99.14434318
386,DEL CARMEN,381,19.35664070188,-99.1687518998311
387,DEL GAS,87,19.470333245144,-99.1592162934314
388,DEL LAGO,42,19.3775126,-99.1406208
389,DEL MAESTRO,35,19.4814931700577,-99.1824460020204
390,DEL MAR,150,19.2876634,-99.056805
391,DEL OBRERO,27,19.4992335223436,-99.0897412075522
392,DEL PARQUE,2,19.4243544547735,-99.1203873806589
393,DEL RECREO,78,19.4714385853803,-99.1811023521136
